"id","title","author","publisher","price","availability","genre","createdAt","updatedAt","imageUrl"
1,"test","test","test","1000",4,"test","2025-09-08T08:05:13.201Z","2025-09-08T08:05:13.201Z","http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg"
2,"Classical Mythology","Mark P. O. Morford","Oxford University Press","29.99",10,"General","2025-09-08T08:05:13.220Z","2025-09-08T08:05:13.220Z","http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg"
3,"Clara Callan","Richard Bruce Wright","HarperFlamingo Canada","29.99",10,"General","2025-09-08T08:05:13.227Z","2025-09-08T08:05:13.227Z","http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg"
4,"Decision in Normandy","Carlo D'Este","HarperPerennial","29.99",10,"General","2025-09-08T08:05:13.235Z","2025-09-08T08:05:13.235Z","http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg"
5,"Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It","Gina Bari Kolata","Farrar Straus Giroux","29.99",10,"General","2025-09-08T08:05:13.240Z","2025-09-08T08:05:13.240Z","http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg"
6,"The Mummies of Urumchi","E. J. W. Barber","W. W. Norton &amp; Company","29.99",10,"General","2025-09-08T08:05:13.246Z","2025-09-08T08:05:13.246Z","http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg"
7,"The Kitchen God's Wife","Amy Tan","Putnam Pub Group","29.99",10,"General","2025-09-08T08:05:13.251Z","2025-09-08T08:05:13.251Z","http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg"
8,"What If?: The World's Foremost Military Historians Imagine What Might Have Been","Robert Cowley","Berkley Publishing Group","29.99",10,"General","2025-09-08T08:05:13.255Z","2025-09-08T08:05:13.255Z","http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg"
9,"PLEADING GUILTY","Scott Turow","Audioworks","29.99",10,"General","2025-09-08T08:05:13.259Z","2025-09-08T08:05:13.259Z","http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg"
10,"Under the Black Flag: The Romance and the Reality of Life Among the Pirates","David Cordingly","Random House","29.99",10,"General","2025-09-08T08:05:13.265Z","2025-09-08T08:05:13.265Z","http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg"
11,"Where You'll Find Me: And Other Stories","Ann Beattie","Scribner","29.99",10,"General","2025-09-08T08:05:13.269Z","2025-09-08T08:05:13.269Z","http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg"
12,"Nights Below Station Street","David Adams Richards","Emblem Editions","29.99",10,"General","2025-09-08T08:05:13.273Z","2025-09-08T08:05:13.273Z","http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg"
13,"Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust","Adam Lebor","Citadel Press","29.99",10,"General","2025-09-08T08:05:13.277Z","2025-09-08T08:05:13.277Z","http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg"
14,"The Middle Stories","Sheila Heti","House of Anansi Press","29.99",10,"General","2025-09-08T08:05:13.282Z","2025-09-08T08:05:13.282Z","http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg"
15,"Jane Doe","R. J. Kaiser","Mira Books","29.99",10,"General","2025-09-08T08:05:13.288Z","2025-09-08T08:05:13.288Z","http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg"
16,"A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)","Jack Canfield","Health Communications","29.99",10,"General","2025-09-08T08:05:13.293Z","2025-09-08T08:05:13.293Z","http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg"
17,"The Witchfinder (Amos Walker Mystery Series)","Loren D. Estleman","Brilliance Audio - Trade","29.99",10,"General","2025-09-08T08:05:13.298Z","2025-09-08T08:05:13.298Z","http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg"
18,"More Cunning Than Man: A Social History of Rats and Man","Robert Hendrickson","Kensington Publishing Corp.","29.99",10,"General","2025-09-08T08:05:13.302Z","2025-09-08T08:05:13.302Z","http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg"
19,"Goodbye to the Buttermilk Sky","Julia Oliver","River City Pub","29.99",10,"General","2025-09-08T08:05:13.309Z","2025-09-08T08:05:13.309Z","http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg"
20,"The Testament","John Grisham","Dell","29.99",10,"General","2025-09-08T08:05:13.314Z","2025-09-08T08:05:13.314Z","http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg"
21,"Beloved (Plume Contemporary Fiction)","Toni Morrison","Plume","29.99",10,"General","2025-09-08T08:05:13.317Z","2025-09-08T08:05:13.317Z","http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg"
22,"Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source","The Onion","Three Rivers Press","29.99",10,"General","2025-09-08T08:05:13.320Z","2025-09-08T08:05:13.320Z","http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg"
23,"New Vegetarian: Bold and Beautiful Recipes for Every Occasion","Celia Brooks Brown","Ryland Peters &amp; Small Ltd","29.99",10,"General","2025-09-08T08:05:13.324Z","2025-09-08T08:05:13.324Z","http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg"
24,"If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself","J. R. Parrish","Cypress House","29.99",10,"General","2025-09-08T08:05:13.328Z","2025-09-08T08:05:13.328Z","http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg"
25,"Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)","Mary-Kate &amp; Ashley Olsen","HarperEntertainment","29.99",10,"General","2025-09-08T08:05:13.332Z","2025-09-08T08:05:13.332Z","http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg"
26,"Tell Me This Isn't Happening","Robynn Clairday","Scholastic","29.99",10,"General","2025-09-08T08:05:13.335Z","2025-09-08T08:05:13.335Z","http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg"
27,"Flood : Mississippi 1927","Kathleen Duey","Aladdin","29.99",10,"General","2025-09-08T08:05:13.339Z","2025-09-08T08:05:13.339Z","http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg"
28,"Wild Animus","Rich Shapero","Too Far","29.99",10,"General","2025-09-08T08:05:13.342Z","2025-09-08T08:05:13.342Z","http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg"
29,"Airframe","Michael Crichton","Ballantine Books","29.99",10,"General","2025-09-08T08:05:13.346Z","2025-09-08T08:05:13.346Z","http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg"
30,"Timeline","MICHAEL CRICHTON","Ballantine Books","29.99",10,"General","2025-09-08T08:05:13.350Z","2025-09-08T08:05:13.350Z","http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg"
31,"OUT OF THE SILENT PLANET","C.S. Lewis","Scribner","29.99",10,"General","2025-09-08T08:05:13.353Z","2025-09-08T08:05:13.353Z","http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg"
32,"Prague : A Novel","ARTHUR PHILLIPS","Random House Trade Paperbacks","29.99",10,"General","2025-09-08T08:05:13.356Z","2025-09-08T08:05:13.356Z","http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg"
33,"Chocolate Jesus","Stephan Jaramillo","Berkley Publishing Group","29.99",10,"General","2025-09-08T08:05:13.359Z","2025-09-08T08:05:13.359Z","http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg"
34,"Wie Barney es sieht.","Mordecai Richler","L�?¼bbe","29.99",10,"General","2025-09-08T08:05:13.363Z","2025-09-08T08:05:13.363Z","http://images.amazon.com/images/P/3404921038.01.LZZZZZZZ.jpg"
35,"Der Fluch der Kaiserin. Ein Richter- Di- Roman.","Eleanor Cooney","Goldmann","29.99",10,"General","2025-09-08T08:05:13.367Z","2025-09-08T08:05:13.367Z","http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg"
36,"Sturmzeit. Roman.","Charlotte Link","Goldmann","29.99",10,"General","2025-09-08T08:05:13.370Z","2025-09-08T08:05:13.370Z","http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg"
37,"Tage der Unschuld.","Richard North Patterson","Goldmann","29.99",10,"General","2025-09-08T08:05:13.374Z","2025-09-08T08:05:13.374Z","http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg"
38,"Lying Awake","Mark Salzman","Alfred A. Knopf","29.99",10,"General","2025-09-08T08:05:13.377Z","2025-09-08T08:05:13.377Z","http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg"
39,"To Kill a Mockingbird","Harper Lee","Little Brown &amp; Company","29.99",10,"General","2025-09-08T08:05:13.380Z","2025-09-08T08:05:13.380Z","http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg"
40,"Seabiscuit: An American Legend","LAURA HILLENBRAND","Ballantine Books","29.99",10,"General","2025-09-08T08:05:13.383Z","2025-09-08T08:05:13.383Z","http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg"
41,"Pigs in Heaven","Barbara Kingsolver","Harpercollins","29.99",10,"General","2025-09-08T08:05:13.386Z","2025-09-08T08:05:13.386Z","http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg"
42,"Miss Zukas and the Raven's Dance","Jo Dereske","Avon","29.99",10,"General","2025-09-08T08:05:13.389Z","2025-09-08T08:05:13.389Z","http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg"
43,"Pride and Prejudice","Jane Austen","Bantam","29.99",10,"General","2025-09-08T08:05:13.392Z","2025-09-08T08:05:13.392Z","http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg"
44,"The Therapeutic Touch: How to Use Your Hands to Help or to Heal","Dolores Krieger","Fireside","29.99",10,"General","2025-09-08T08:05:13.395Z","2025-09-08T08:05:13.395Z","http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg"
45,"Downtown","Anne Rivers Siddons","HarperTorch","29.99",10,"General","2025-09-08T08:05:13.398Z","2025-09-08T08:05:13.398Z","http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg"
46,"Icebound","Dean R. Koontz","Bantam Books","29.99",10,"General","2025-09-08T08:05:13.401Z","2025-09-08T08:05:13.401Z","http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg"
47,"I'll Be Seeing You","Mary Higgins Clark","Pocket","29.99",10,"General","2025-09-08T08:05:13.406Z","2025-09-08T08:05:13.406Z","http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg"
48,"From the Corner of His Eye","Dean Koontz","Bantam Books","29.99",10,"General","2025-09-08T08:05:13.411Z","2025-09-08T08:05:13.411Z","http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg"
49,"Isle of Dogs","Patricia Cornwell","Berkley Publishing Group","29.99",10,"General","2025-09-08T08:05:13.415Z","2025-09-08T08:05:13.415Z","http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg"
